Bangla,English
Bangla,English
Bangla,English
Bangla,English
Bangla,English
ঘৃণা,hatred
পালিয়ে,run away
বাস,the bus
শহরের,of the city
হবার,to be
ভালোবাসা,love
দূর,away
দুটো,two
ভাগ,share
একেবারে,absolutely
আটকে,stuck
শহরে,in the city
সময়ের,of time
কাছাকাছি,nearby
বুঝেছি,got it
এরপর,After that
দেবতা,god
আদেশ,order
দিবো,will give
বই,book
বানিয়ে,by making
ফেলেছে,left
তোরা,you
এদের,Their
যোগাযোগ,communication
ঘর,house
দেখাতে,to show
আসবো,will come
প্ল্যান,the plan
গরম,hot
হিসাবে,as
মতই,like
পারতাম,I could
অনুসরণ,following
পরিচিত,known
সমাধান,solution
রুমে,in the room
কই,where
ঘুরে,turn around
রকম,sort of
ঘন্টা,hours
তাঁদের,their
জোরে,loudly
দায়িত্ব,responsibility
দুজন,two
বিরক্ত,bored
রাখ,keep
বেরিয়ে,get out
লর্ড,lord
হয়তোবা,maybe
উনার,His
যেভাবে,how
পরিচয়,identity
ফেল,fail
খোলা,open
মাস্টার,master
তে,in
জন্ম,the birth
আগুন,the fire
দাঁড়িয়ে,standing
ছেলের,son's
সম্পর্ক,relationship
রাজি,agreed
করতো,used to
মেনে,obey
নিরাপত্তা,safety
মরতে,to die
হত,would have been
দেয়ার,to give
রাতের,the night
শান্তি,the peace
জেনে,knowing
চেয়েছিলাম,I wanted
সমস্ত,all
রেডি,ready
থামাও,stop it
মানুষকে,people
এজেন্ট,the agent
জিনিসটা,the thing
দেখাচ্ছে,showing
সাথেই,immediately
থাকব,will stay
বলল,said
মিনিটের,of minutes
আস,come on
ঘুম,sleep
চাইনা,don't want
রুম,the room
translated,Translated
ফেলতে,to drop
ক্ষতি,damage
প্রেসিডেন্ট,the president
ওরে,hey
গাছ,the tree
যাবার,to go
গ্রহণ,accept
বাঁচাতে,to save
রেখো,keep
শক্ত,tough
দেখলাম,i saw
কিচ্ছু,something
অামি,i am
নিয়েছে,took
পৃথিবীতে,on earth
এসেছেন,has come
চুক্তি,contract
ধুর,the hell
মুখে,in the mouth
শীঘ্রই,soon
লক্ষ্য,aim
কবে,when
জ্বি,yes
সম্পূর্ণ,complete
করেছিলে,you did
বরং,rather
এভাবেই,This is how
কাহিনী,the story
ভেতর,inside
সেগুলো,They are
চলবে,will continue
মেয়েটা,the girl
বিষয়ে,about
লোকজন,the people
দাম,the price
কেউই,no one
সতর্ক,careful
আগামীকাল,tomorrow
শরীর,the body
তৈরী,ready
লাগলো,started
পাচ্ছ,you see
মনোযোগ,attention
লোকেরা,the people
হয়না,no
স্কুল,school
গাড়িতে,in the car
রাস্তায়,on the road
আইন,the law
দেখেছো,have you seen
শিকার,victim
শুনুন,listen
বিশাল,huge
ওদেরকে,to them
লম্বা,long
হয়ে,become
রাগ,anger
হামলা,attack
এজন্যই,That's why
যাবেন,go
বাচ্চারা,the children
দেখবে,will see
নিয়ম,rules
ম্যান,man
করোনা,do not
হাহ,haha
লাল,the red
পুলিশের,of the police
ডান,the right
কিংবা,Or
এসেছিল,came
ওগুলো,those
কোড,code
পারবনা,can't
আলো,the light
মালিক,the owner
আম্মু,Mom
বানাতে,to make
গাড়ির,of the car
নজর,glance
ক্ষেত্রে,in case
একজনকে,to one
ভিন্ন,different
পুরোপুরি,completely
কারনে,because of
আবারো,again
যাদের,whose
থাকুন,stay
কিছুর,something
ঘণ্টা,bell
চলুন,let's go
পাঠিয়ে,by sending
দশ,ten
চা,the tea
