Bengali ,English
আমি,i am
না,no
তুমি,you
আমার,my
কি,what
এটা,it is
আর,And
তোমার,yours
আছে,there is
সে,he
এই,this
আমরা,we are
করে,by doing
হবে,will be
জন্য,for
আমাদের,our
করতে,to do
একটা,one
আমাকে,me
ঠিক,right
আপনি,you
তো,so
যে,that
তার,his
থেকে,from
কিছু,something
সাথে,with
কিন্তু,but
এখানে,here
তোমাকে,you
এখন,now
কোন,no
কথা,talk
মনে,in mind
কী,what
যদি,if
এবং,And
হয়,is
আপনার,your
নিয়ে,with
ছিল,was
তাকে,him
তারা,they are
নেই,no
হয়ে,become
তাহলে,then
অনেক,a lot
কেন,why
করা,to do
হ্যাঁ,yes
করো,do it
তাই,so
সব,all
এক,one
এর,of
হচ্ছে,being
যাও,go
কাজ,work
হয়েছে,has been
ও,And
কে,who
কাছে,near
শুধু,only
একটি,a
স্যার,sir
দাও,give it
তাদের,their
ভালো,good
যা,which
একজন,one
ভাল,well
জানি,i know
যেতে,to go
দিয়ে,with
খুব,very
কোথায়,where
করবে,will do
যাবে,will go
চাই,want
পারে,can
শেষ,the end
করার,to do
ধন্যবাদ,thank you
যখন,when
বলতে,to say
কেউ,someone
করি,I do
সময়,the time
তুই,you
গেছে,gone
বাবা,father
ওকে,ok
মত,like
সেটা,that
হতে,to be
চলে,move on
ওহ,oh
নয়,not
হ্যা,yes
একটু,a little
পারি,I can
দেখতে,to see
সবাই,everyone
আগে,before
দেখা,see
করছি,doing
তিনি,he
বের,get out
বলে,says
ঐ,that
কর,do
আবার,again
দিতে,to give
নাম,name
যায়,goes
ওর,her
পারবে,can
নাকি,or
কিভাবে,how
মধ্যে,in
তোমরা,you
ফিরে,back
আচ্ছা,ok
সাহায্য,help
আপনাকে,to you
মানুষ,people
তা,that
মা,mother
এ,A
করেছে,did
দিকে,towards
দরকার,need
সেই,that
আসলে,actually
শুরু,start
ওটা,that
দুঃখিত,sorry
দিন,day
চলো,come on
মানে,means
কিন্ত,but
তোর,your
তোমাদের,yours
করছে,doing
বলছি,saying
বিশ্বাস,faith
বন্ধ,off
করেছি,I did
এমন,such
অবশ্যই,of course
নিজের,own
কারণ,because
বড়,big
করবো,will do
বেশি,more
বছর,year
উপর,on
যাচ্ছে,is going
আসো,come on
চেষ্টা,try
তারপর,then
হল,Hall
হয়,is
হেই,hey
এসব,these
দেখো,look
কিছুই,nothing
কোনো,any
এটাই,That's it
আছি,I am
টাকা,money
যাচ্ছি,going
জানো,know
বুঝতে,to understand
আজ,today
ছিলো,was
বলো,tell me
মতো,like
ধরে,by holding
কখনো,ever
খারাপ,bad
কেমন,how
প্লিজ,please
মারা,die
পছন্দ,choice
সেখানে,there
চাও,want
নাও,take
সমস্যা,the problem
দেখে,see
নি,no
পর,after
থাকে,remains
এখনো,yet
সুন্দর,beautiful
তখন,then
ভুল,wrong
ভাই,brother
ওখানে,there
পর্যন্ত,up to
করব,will do
নতুন,new
পরে,after
থাকতে,to stay
ওরা,They are
যাই,let's go
অন্য,other
হলো,done
খুঁজে,to find
ভয়,fear
ব্যাপারে,regarding
ছেড়ে,leave
আরো,more
নিতে,to take
থাকবে,will be
করুন,do
লোক,people
আরে,hey
ফোন,the phone
বন্ধু,friend
হাত,hand
লাগবে,will need
এসো,come on
ওই,that
যেন,as if
সত্যি,true
জীবন,the life
বল,say
চিন্তা,the thought
সম্পর্কে,about
ছেলে,son
এত,so much
যেটা,which
সামনে,in front
জিনিস,thing
খুবই,very
পারবো,i can
এটি,this
হ্যালো,hello
ছিলাম,I was
অপেক্ষা,wait
করবেন,will do
সবকিছু,everything
উচিত,should
ব্যাপার,matter
নিচে,down
থাকো,stay
পারো,you can
নিশ্চিত,sure
হলে,if
এসেছে,has arrived
বা,or
প্রথম,the first
এখান,here
জলদি,soon
কত,how much
জানতে,to know
মেয়ে,girl
আসবে,will come
হও,be
এসে,come
করছ,you do
এরকম,like this
ওদের,their
দুই,two
দেখ,look
তৈরি,made up
জন,John
পারেন,can
ছাড়া,except
হাতে,in hand
সবচেয়ে,the most
হয়তো,maybe
আসছে,is coming
একদম,at all
নাই,no
লাগছে,feeling
যাক,Let's
মেরে,kill
সত্যিই,really
বাইরে,outside
বেশ,quite
আসতে,to come
গুলি,shot
বলা,to say
এটার,its
এসেছি,i came
পড়ে,read
পুরো,the whole
যান,go to
এগুলো,These are
ছোট,small
দিয়েছে,gave
আমিও,me too
সবসময়,always
চল,come on
পেয়েছি,received
মিনিট,minutes
চায়,want
